connected to i2c device 5
imu who am i is 113 
                    
calibration complete, -2.695923 -2.784371 2.228475 -1.994713 1.183828 0.000000
shared memory attached at address 0xb6f7e000
segment size: 25600
calibration complete, 4.137041 2.280841 -0.872952 -3.076362 3.127099 0.000000
   0.00000,   0.23073
   0.00000,   0.10033
   0.00000,   0.07678
   0.00000,   0.10513
   0.00000,   0.02667
   0.00000,  -0.05334
   0.00000,  -0.02142
   0.00000,  -0.00265
   0.00000,  -0.15947
   0.00000,  -0.07713
   0.00000,  -0.06618
   0.00000,  -0.16430
   0.00000,  -0.12609
   0.00000,   0.00837
   0.00000,  -0.07860
   0.00000,  -0.05752
   0.00000,   0.07152
   0.00000,   0.02910
   0.00000,  -0.00934
   0.00000,   0.06966
   0.00000,  -0.01543
   0.00000,   0.00454
   0.00000,  -0.01897
   0.00000,  -0.05040
   0.00000,   0.04037
   0.00000,  -0.03070
   0.00000,  -0.16309
   0.00000,  -0.06424
   0.00000,  -0.08882
   0.00000,  -0.21398
   0.00000,  -0.17629
